1373156943,90357408.00,95198936.00,96786232.00,1446300.30
1376816021,95620568.00,95722280.00,98029456.00,630657.69
1380478215,74013272.00,74787432.00,74505824.00,676411.69
1384140602,68875544.00,68103168.00,73248920.00,710619.69
1387802558,65538896.00,68430288.00,68639832.00,630688.88
1391466071,49744824.00,52485076.00,51376384.00,803341.63
1395127864,49982232.00,50739924.00,52536360.00,1123287.90
1398790769,50253216.00,50466580.00,51160928.00,1160478.60
1402452558,51634948.00,50642412.00,51645888.00,1185482.80
1406111647,49090092.00,48319592.00,50167864.00,1147281.50
1409774118,44243084.00,45503588.00,46806852.00,1174103.00
1413436919,53609544.00,55646180.00,55643092.00,1183606.00
1417098831,54565332.00,53837356.00,55240920.00,1180815.10
1420758952,60502044.00,62606388.00,63036680.00,1182888.00
1424420702,73896936.00,75221368.00,73670192.00,1154331.60
1428079961,62674252.00,64855688.00,67072568.00,1076152.40
1431742994,45731044.00,49258816.00,48565580.00,1134909.30
1435405029,37626988.00,38357532.00,38614532.00,1389522.30
1439067020,82187648.00,82668256.00,89162688.00,1412536.50
1442727213,162969040.00,163985250.00,171924180.00,1561147.80
1446387812,204316290.00,218986320.00,217988660.00,1658450.60
1450050254,205825600.00,221594640.00,213584560.00,1552342.00
1453709128,147729260.00,150350560.00,155205410.00,1571057.00
1457371451,90596768.00,90530560.00,90904856.00,1449962.90
1461033196,75740744.00,81854416.00,78436640.00,1440517.60
1464696042,79369352.00,83597384.00,83995568.00,1564216.90
1468357315,79818504.00,80803488.00,87499688.00,1551245.10
1472016506,86604416.00,87437880.00,92266992.00,1523519.90
1475678815,87927176.00,87145832.00,87453704.00,1539383.30
1479338061,67985640.00,70381912.00,71190832.00,1531862.80
1483000724,59709580.00,63844040.00,63918636.00,1484105.00
1486663915,57248532.00,59186704.00,60666760.00,1518222.40
1490321959,49549932.00,53588880.00,52852296.00,1417493.50
1493980796,50346728.00,53313932.00,53030212.00,1442969.90
1497643532,53855028.00,56589872.00,56780212.00,1424397.90
1501306153,50808844.00,53995052.00,55646180.00,609704.81
1504968762,48252464.00,48237988.00,49651020.00,625768.25
1508631713,51212064.00,50803416.00,53698424.00,650211.63
1512293637,41277348.00,46373320.00,47430872.00,666160.13
1515953458,41303868.00,42350080.00,42900352.00,782684.13
1519615462,40493288.00,40633004.00,40839296.00,1126640.30
1523278715,38532656.00,41321620.00,41681644.00,1108700.50
1526940654,37451092.00,38498828.00,38749920.00,1254773.50
1530603356,37543272.00,38854560.00,39811264.00,1333954.50
1534265182,44090064.00,45735252.00,45403436.00,1323517.30
1537924380,47787620.00,47530680.00,48370236.00,1298353.00
1541586207,49537144.00,51018788.00,50703088.00,1338314.10
1545245469,45427084.00,46207720.00,48073492.00,1323073.80
1548908030,45067920.00,45497132.00,46238640.00,1304091.00
1552570544,43229968.00,45333460.00,45179356.00,1348728.40
1556232642,44088108.00,47172972.00,48071172.00,1340966.90
