temps_ms,valeur
2088534,703.16
2089757,708.13
2090980,688.05
2092204,678.12
2093427,668.14
2094650,683.14
2095874,698.22
2097097,698.20
2098320,683.08
2099544,677.94
2100767,668.13
2101990,678.17
2103214,688.14
2104440,723.93
2105663,678.09
2106887,673.26
2108110,683.20
2109333,688.37
2110557,683.19
2111780,668.11
2113003,668.16
2114227,678.33
2115450,683.45
2116673,698.06
2117897,663.11
2119120,668.15
2120344,673.35
2121567,678.49
2122790,678.13
2124014,663.11
2125237,663.18
2126460,668.28
2127684,673.29
2128907,668.21
2130130,653.19
2131354,668.05
2132577,658.39
2133800,668.39
2135024,673.22
2136247,658.09
2137470,658.22
2138694,668.26
2139917,673.37
2141140,668.36
2142364,663.17
2143590,698.92
2144814,668.36
2146037,658.49
2147260,658.20
2148484,653.13
2149707,648.28
2150931,658.39
2152154,668.39
2153377,653.28
2154600,648.22
2155824,653.27
2157047,643.54
2158271,658.43
2159494,653.36
2160717,648.22
2161941,653.27
2163164,668.15
2164387,653.51
2165611,648.37
2166834,653.14
2168057,643.29
2169281,638.44
2170504,648.46
2171727,658.42
2172951,663.12
2174174,638.34
2175397,628.36
2176621,638.40
2177845,663.52
2179067,648.42
2180291,653.10
2181515,628.31
2182740,699.08
2183964,663.64
2185188,653.27
2186411,633.44
2187634,643.35
2188858,648.46
2190081,653.42
2191304,643.46
2192528,638.30
2193751,633.36
2194974,638.44
2196198,658.52
2197422,628.53
2198644,638.52
2199868,618.39
2201092,633.42
2202314,648.49
2203538,648.46
2204762,628.61
2205984,628.41
2207208,623.34
2208432,633.55
2209654,638.55
2210878,643.51
2212102,633.55
2213325,623.50
2214548,613.42
2215772,638.39
