Sechage capteurs le 26/06/2026
temps_ms,CapteurBrut1,CapteurBrut2,Reference45K,CapteurFiltre1,CapteurFiltre2,Reference45KFiltre
134146835,19378.13,20517.72,475726.12,18739.59,19602.02,475447.96
134764936,19555.28,20742.49,475242.62,18902.73,19830.12,475406.90
135383037,19727.45,20992.95,475090.90,19067.67,20062.68,475343.71
136001139,19896.01,21231.83,475299.62,19233.34,20296.51,475334.90
136619241,20067.80,21463.83,475471.71,19400.23,20529.98,475362.28
137237343,20234.64,21723.90,474969.62,19567.12,20768.76,475283.78
137855443,20410.66,21963.49,475507.12,19735.83,21007.71,475328.46
138473548,20591.88,22233.17,475063.25,19907.04,21252.80,475275.43
139091651,20770.80,22465.24,475967.37,20079.79,21495.29,475413.81
139709753,20948.64,22732.93,476057.84,20253.56,21742.82,475542.62
140327855,21143.81,22994.77,475225.75,20431.61,21993.21,475479.25
140945955,21335.36,23253.50,475444.03,20612.36,22245.27,475472.21
141564057,21515.42,23554.71,475618.46,20792.97,22507.16,475501.46
142182160,21741.64,23832.92,474844.90,20982.71,22772.31,475370.18
142800262,21910.22,24136.01,475699.68,21168.21,23045.05,475436.09
143418366,22135.73,24399.04,475358.68,21361.72,23315.85,475420.62
144036468,22338.60,24657.70,475534.09,21557.09,23584.22,475443.31
144654571,22504.77,24937.69,475026.56,21746.63,23854.91,475359.96
145272673,22687.54,25248.45,475559.46,21934.81,24133.62,475399.87
145890775,22903.27,25536.41,475723.90,22128.50,24414.18,475464.68
146508876,23127.27,25825.41,475022.84,22328.26,24696.42,475376.31
147126979,23321.36,26151.24,475333.53,22526.88,24987.39,475367.78
147745082,23537.47,26448.40,475550.43,22729.00,25279.59,475404.31
148363186,23744.05,26765.92,475595.87,22932.01,25576.86,475442.65
148981286,23965.47,27082.43,475971.68,23138.70,25877.97,475548.46
149599388,24194.92,27406.37,475571.56,23349.95,26183.65,475553.09
150217491,24409.09,27739.12,474822.28,23561.78,26494.75,475406.93
150835592,24630.16,28024.30,476115.46,23775.45,26800.66,475548.65
151453692,24854.39,28326.00,475191.62,23991.24,27105.73,475477.25
152071794,25078.80,28644.06,474913.28,24208.75,27413.40,475364.46
152689899,25312.68,28934.44,475785.84,24429.54,27717.61,475448.75
153308001,25534.24,29248.86,475364.37,24650.48,28023.86,475431.87
153926103,25779.65,29550.87,474863.25,24876.31,28329.26,475318.15
154544205,26002.08,29876.86,475336.28,25101.47,28638.78,475321.78
155162308,26234.38,30165.89,475991.56,25328.05,28944.20,475455.75
155780411,26456.58,30479.96,475535.09,25553.76,29251.35,475471.62
156398513,26717.85,30756.43,475165.53,25786.58,29552.37,475410.43
157016614,26930.27,31072.46,475788.28,26015.32,29856.39,475486.00
157634720,27173.09,31362.71,475784.81,26246.87,30157.65,475545.78
158252823,27419.84,31658.16,475497.68,26481.47,30457.75,475536.15
158870926,27646.63,31936.95,474984.28,26714.50,30753.59,475425.81
159489028,27875.77,32248.32,475801.25,26946.75,31052.54,475500.90
160107129,28122.77,32503.61,475725.56,27181.96,31342.75,475545.84
160725232,28344.04,32802.42,475258.56,27414.38,31634.69,475488.40
161343335,28564.72,33101.61,475756.25,27644.44,31928.07,475541.96
161961440,28808.43,33338.39,475428.84,27877.24,32210.14,475519.37
162579542,29043.82,33618.71,475690.28,28110.56,32491.86,475553.56
163197644,29286.20,33900.66,475366.03,28345.69,32773.62,475516.06
163815747,29504.01,34180.16,475378.25,28577.35,33054.92,475488.50
164433850,29736.54,34451.46,475202.56,28809.19,33334.23,475431.31
165051952,29962.74,34687.70,475205.71,29039.90,33604.93,475386.21
165670053,30203.51,34947.16,474943.68,29272.63,33873.37,475297.71
166288156,30398.85,35197.86,476205.03,29497.87,34138.27,475479.18
166906262,30617.28,35451.57,474767.31,29721.75,34400.93,475336.81
167524364,30819.78,35709.42,475602.87,29941.36,34662.63,475390.06
168142466,31052.54,35973.95,475108.75,30163.59,34924.90,475333.81
168760568,31231.37,36230.33,475898.00,30377.15,35185.98,475446.65
169378671,31485.58,36463.25,475767.81,30598.83,35441.44,475510.90
169996774,31699.37,36728.18,475041.75,30818.94,35698.79,475417.06
170614876,31893.35,37001.94,475134.28,31033.83,35959.42,475360.50
171232977,32153.20,37305.45,475395.56,31257.70,36228.63,475367.53
171851083,32318.81,37510.79,476436.46,31469.92,36485.06,475581.31
172469186,32517.39,37749.41,475422.03,31679.42,36737.93,475549.46
173087289,32712.47,38007.86,475324.56,31886.03,36991.92,475504.50
173705391,32908.79,38287.82,475437.03,32090.58,37251.10,475491.00
174323492,33105.84,38512.83,475305.96,32293.63,37503.45,475454.00
174941595,33307.61,38766.29,475295.43,32496.43,37756.01,475422.31
175559698,33509.17,39027.20,475823.87,32698.98,38010.25,475502.62
176177803,33679.73,39296.61,475753.03,32895.12,38267.53,475552.68
176795905,33865.50,39577.76,475069.84,33089.20,38529.57,475456.12
177414007,34073.67,39806.00,475391.03,33286.09,38784.86,475443.12
178032110,34275.08,40122.96,474785.53,33483.89,39052.48,475311.62
178650213,34448.45,40479.16,474970.90,33676.80,39337.82,475243.50
179268315,34631.00,40766.81,475889.90,33867.64,39623.62,475372.81
179886416,34812.86,41087.82,475372.12,34056.69,39916.46,475372.68
180504519,34996.39,41412.96,475317.59,34244.63,40215.76,475361.68
181122625,35202.16,41772.23,475469.28,34436.13,40527.05,475383.18
181740727,35380.72,42159.12,475687.31,34625.05,40853.47,475444.03
182358829,35572.14,42516.20,475870.81,34814.47,41186.01,475529.37
182976930,35736.90,42903.71,474506.31,34998.96,41529.55,475324.75
183595033,35956.48,43267.07,475623.68,35190.46,41877.06,475384.56
184213136,36099.51,43668.89,475034.15,35372.27,42235.42,475314.50
184831238,36286.19,44059.66,475302.37,35555.05,42600.27,475312.06
185449339,36453.16,44457.70,475135.15,35734.67,42971.76,475276.68
186067445,36680.15,44866.02,475527.90,35923.77,43350.61,475326.93
186685548,36860.29,45266.27,475523.68,36111.07,43733.74,475366.31
