2313945630;WAOU1;191;0.00:265.30:0.00:265.30:4.84:242.05:14.52:400.90
2313945689;WAOU1;192;0.00:270.14:0.00:245.95:15.46:286.55:8.73:319.47
2313945749;WAOU1;193;0.00:309.80:0.00:208.18:6.84:289.50:6.84:307.91
2313945809;WAOU1;194;0.00:335.99:0.00:242.05:15.46:365.97:11.57:343.67
2313945869;WAOU1;195;0.00:211.01:0.00:223.64:12.51:282.65:16.40:354.41
2313945929;WAOU1;196;0.00:258.46:0.00:227.54:14.52:299.06:14.52:312.75
2313945988;WAOU1;197;0.00:325.26:0.00:206.18:7.79:297.17:10.62:293.39
2313946048;WAOU1;198;0.00:328.21:0.00:224.59:22.31:372.70:8.73:376.59
2313946108;WAOU1;199;0.00:245.95:0.00:263.30:8.73:281.71:6.84:369.87
2313946168;WAOU1;200;0.00:237.10:0.00:275.81:14.52:374.70:10.62:409.52
2313946228;WAOU1;201;0.00:304.96:0.00:272.97:9.68:304.01:9.68:394.06
2313946287;WAOU1;202;0.00:212.90:0.94:178.09:13.57:339.77:12.51:418.25
2313946347;WAOU1;203;0.00:297.17:0.00:137.49:7.79:347.56:5.90:329.15
2313946407;WAOU1;204;0.00:298.11:0.00:203.34:2.01:319.47:14.52:277.81
2313946467;WAOU1;205;0.00:281.71:0.00:203.34:20.30:414.36:9.68:357.24
2313946527;WAOU1;206;0.00:266.25:0.00:210.07:11.57:291.38:12.51:408.58
2313946586;WAOU1;207;0.00:265.30:0.00:180.09:13.57:321.36:4.84:352.40
2313946646;WAOU1;208;0.00:233.20:0.00:220.69:10.62:374.70:8.73:384.26
2313946706;WAOU1;209;0.00:209.13:0.00:258.46:17.47:333.04:9.68:310.74
2313946766;WAOU1;210;0.00:252.67:0.00:190.72:13.57:295.28:15.46:306.84
2313946826;WAOU1;211;0.00:202.28:0.00:240.05:6.84:272.03:7.79:453.07
2313946885;WAOU1;212;0.00:236.15:0.00:261.41:7.79:264.24:13.57:332.10
2313946945;WAOU1;213;0.00:268.14:0.00:198.39:9.68:367.86:12.51:382.38
2313947005;WAOU1;214;0.00:270.14:0.00:243.94:15.46:379.54:17.47:280.76
2313947065;WAOU1;215;0.00:290.44:0.00:248.78:18.41:337.88:12.51:354.41
2313947125;WAOU1;216;0.00:209.13:0.00:235.21:8.73:333.99:10.62:295.28
2313947184;WAOU1;217;0.00:311.80:0.94:268.14:13.57:243.94:10.62:351.46
